Date,Adj Close,Close,High,Low,Open,Volume
2021-01-01 00:00:00+00:00,29374.15234,29374.15234,29600.62695,28803.58594,28994.00977,40730301359
2021-01-02 00:00:00+00:00,32127.26758,32127.26758,33155.11719,29091.18164,29376.45508,67865420765
2021-01-03 00:00:00+00:00,32782.02344,32782.02344,34608.55859,32052.31641,32129.4082,78665235202
2021-01-04 00:00:00+00:00,31971.91406,31971.91406,33440.21875,28722.75586,32810.94922,81163475344
2021-01-05 00:00:00+00:00,33992.42969,33992.42969,34437.58984,30221.1875,31977.04102,67547324782
2021-01-06 00:00:00+00:00,36824.36328,36824.36328,36879.69922,33514.03516,34013.61328,75289433811
2021-01-07 00:00:00+00:00,39371.04297,39371.04297,40180.36719,36491.19141,36833.875,84762141031
2021-01-08 00:00:00+00:00,40797.60938,40797.60938,41946.73828,36838.63672,39381.76563,88107519480
2021-01-09 00:00:00+00:00,40254.54688,40254.54688,41436.35156,38980.875,40788.64063,61984162837
2021-01-10 00:00:00+00:00,38356.44141,38356.44141,41420.19141,35984.62891,40254.21875,79980747690
2021-01-11 00:00:00+00:00,35566.65625,35566.65625,38346.53125,30549.59961,38346.53125,1.23321E+11
2021-01-12 00:00:00+00:00,33922.96094,33922.96094,36568.52734,32697.97656,35516.35938,74773277909
2021-01-13 00:00:00+00:00,37316.35938,37316.35938,37599.96094,32584.66797,33915.12109,69364315979
2021-01-14 00:00:00+00:00,39187.32813,39187.32813,39966.40625,36868.5625,37325.10938,63615990033
2021-01-15 00:00:00+00:00,36825.36719,36825.36719,39577.71094,34659.58984,39156.70703,67760757881
2021-01-16 00:00:00+00:00,36178.14063,36178.14063,37864.36719,35633.55469,36821.64844,57706187875
2021-01-17 00:00:00+00:00,35791.27734,35791.27734,36722.35156,34069.32031,36163.64844,52359854336
2021-01-18 00:00:00+00:00,36630.07422,36630.07422,37299.28516,34883.84375,35792.23828,49511702429
2021-01-19 00:00:00+00:00,36069.80469,36069.80469,37755.89063,36069.80469,36642.23438,57244195486
2021-01-20 00:00:00+00:00,35547.75,35547.75,36378.32813,33570.47656,36050.11328,66834573161
2021-01-21 00:00:00+00:00,30825.69922,30825.69922,35552.67969,30250.75,35549.39844,75643067688
2021-01-22 00:00:00+00:00,33005.76172,33005.76172,33811.85156,28953.37305,30817.625,77207272511
2021-01-23 00:00:00+00:00,32067.64258,32067.64258,33360.97656,31493.16016,32985.75781,48354737975
2021-01-24 00:00:00+00:00,32289.37891,32289.37891,32944.00781,31106.68555,32064.37695,48643830599
2021-01-25 00:00:00+00:00,32366.39258,32366.39258,34802.74219,32087.78711,32285.79883,59897054838
2021-01-26 00:00:00+00:00,32569.84961,32569.84961,32794.55078,31030.26563,32358.61328,60255421470
2021-01-27 00:00:00+00:00,30432.54688,30432.54688,32564.0293,29367.13867,32564.0293,62576762015
2021-01-28 00:00:00+00:00,33466.09766,33466.09766,33858.3125,30023.20703,30441.04102,76517157706
2021-01-29 00:00:00+00:00,34316.38672,34316.38672,38406.26172,32064.81445,34318.67188,1.17895E+11
2021-01-30 00:00:00+00:00,34269.52344,34269.52344,34834.70703,32940.1875,34295.93359,65141828798
2021-01-31 00:00:00+00:00,33114.35938,33114.35938,34288.33203,32270.17578,34270.87891,52754542671
2021-02-01 00:00:00+00:00,33537.17578,33537.17578,34638.21484,32384.22852,33114.57813,61400400660
2021-02-02 00:00:00+00:00,35510.28906,35510.28906,35896.88281,33489.21875,33533.19922,63088585433
2021-02-03 00:00:00+00:00,37472.08984,37472.08984,37480.1875,35443.98438,35510.82031,61166818159
2021-02-04 00:00:00+00:00,36926.06641,36926.06641,38592.17578,36317.5,37475.10547,68838074392
2021-02-05 00:00:00+00:00,38144.30859,38144.30859,38225.90625,36658.76172,36931.54688,58598066402
2021-02-06 00:00:00+00:00,39266.01172,39266.01172,40846.54688,38138.38672,38138.38672,71326033653
2021-02-07 00:00:00+00:00,38903.44141,38903.44141,39621.83594,37446.15234,39250.19141,65500641143
2021-02-08 00:00:00+00:00,46196.46484,46196.46484,46203.92969,38076.32422,38886.82813,1.01467E+11
2021-02-09 00:00:00+00:00,46481.10547,46481.10547,48003.72266,45166.96094,46184.99219,91809846886
2021-02-10 00:00:00+00:00,44918.18359,44918.18359,47145.56641,43881.15234,46469.76172,87301089896
