Date,y_true_vol,pred_hist,pred_ewma,pred_rf
2024-01-21 00:00:00+00:00,0.028971286020867737,0.031234713063426105,0.026905341557849405,0.031156366823800453
2024-01-22 00:00:00+00:00,0.02866666601428527,0.028971286020867737,0.026095230000950268,0.028398575488547566
2024-01-23 00:00:00+00:00,0.028570392043238694,0.02866666601428527,0.028141829266387256,0.027725388730761247
2024-01-24 00:00:00+00:00,0.028547572759738658,0.028570392043238694,0.027364281288027363,0.028284851343514748
2024-01-25 00:00:00+00:00,0.02286042328533028,0.028547572759738658,0.02656858442960242,0.02843298228026245
2024-01-26 00:00:00+00:00,0.022941711529108552,0.02286042328533028,0.025774130037365395,0.023367708588111803
2024-01-27 00:00:00+00:00,0.02197632189195139,0.022941711529108552,0.027419527265910376,0.022986125249531034
2024-01-28 00:00:00+00:00,0.022890140427345163,0.02197632189195139,0.026643046287519134,0.022246916345455843
2024-01-29 00:00:00+00:00,0.022631622982156735,0.022890140427345163,0.025836070621663647,0.0234496472199915
2024-01-30 00:00:00+00:00,0.022604297795984277,0.022631622982156735,0.02606124568869463,0.022678905683341393
2024-01-31 00:00:00+00:00,0.02077621358713384,0.022604297795984277,0.025339147898265444,0.023118427891278312
2024-02-01 00:00:00+00:00,0.02065997567913368,0.02077621358713384,0.024658447503612225,0.020202813636452745
2024-02-02 00:00:00+00:00,0.020692631427161202,0.02065997567913368,0.02407306073684919,0.019724295417432293
2024-02-03 00:00:00+00:00,0.020835275785352804,0.020692631427161202,0.02334807047719088,0.019918117642392878
2024-02-04 00:00:00+00:00,0.01592311705835092,0.020835275785352804,0.02266353473474496,0.02004062679140198
2024-02-05 00:00:00+00:00,0.015981524597640163,0.01592311705835092,0.02209730873195175,0.01616125076205393
2024-02-06 00:00:00+00:00,0.017604823277428107,0.015981524597640163,0.021428481206597537,0.015890965217425796
2024-02-07 00:00:00+00:00,0.018531450171314183,0.017604823277428107,0.020917777697087796,0.01710454855156157
2024-02-08 00:00:00+00:00,0.017483458379187754,0.018531450171314183,0.02142688979444098,0.018969121708844006
2024-02-09 00:00:00+00:00,0.017728371312218022,0.017483458379187754,0.021458370375307005,0.01861091120722077
2024-02-10 00:00:00+00:00,0.017957291746347113,0.017728371312218022,0.02298940205141692,0.01753797741387505
2024-02-11 00:00:00+00:00,0.018516761249566888,0.017957291746347113,0.022520593644306683,0.01766893372228366
2024-02-12 00:00:00+00:00,0.01843586616619949,0.018516761249566888,0.021996598907711343,0.019975646324589445
2024-02-13 00:00:00+00:00,0.02132793395532797,0.01843586616619949,0.02288441865430981,0.019488974912947158
2024-02-14 00:00:00+00:00,0.021112600185505828,0.02132793395532797,0.022212586993775926,0.021041120418406837
2024-02-15 00:00:00+00:00,0.0211322469310416,0.021112600185505828,0.023767324426059878,0.020002872690507056
2024-02-16 00:00:00+00:00,0.02125282408319505,0.0211322469310416,0.02304932689524491,0.020049884646788384
2024-02-17 00:00:00+00:00,0.021231307738875663,0.02125282408319505,0.022371482673849086,0.02044601734147934
2024-02-18 00:00:00+00:00,0.021299477941716754,0.021231307738875663,0.021816474553464974,0.02018865588853976
2024-02-19 00:00:00+00:00,0.021292320422433817,0.021299477941716754,0.021262798415377832,0.02036247158403339
2024-02-20 00:00:00+00:00,0.020041944128646,0.021292320422433817,0.020678536133024058,0.02032550495416947
2024-02-21 00:00:00+00:00,0.01936344192237013,0.020041944128646,0.02018945455483808,0.018662229315689262
2024-02-22 00:00:00+00:00,0.016433219219974562,0.01936344192237013,0.019686405858375715,0.019006033967507285
2024-02-23 00:00:00+00:00,0.016641024538966605,0.016433219219974562,0.019254590922820603,0.016462841862672273
2024-02-24 00:00:00+00:00,0.016406417758431463,0.016641024538966605,0.018869661456717972,0.017129302714366943
2024-02-25 00:00:00+00:00,0.019599303640931966,0.016406417758431463,0.018730960655120237,0.016042589716681405
