Date,y_true,pred_hist,pred_ewma,pred_rf,pred_lstm
2024-02-03 00:00:00+00:00,0.020835275785352804,0.020692631427161202,0.02334807047719088,0.019918117642392884,0.01954107
2024-02-04 00:00:00+00:00,0.01592311705835092,0.020835275785352804,0.02266353473474496,0.020040626791401995,0.019158602
2024-02-05 00:00:00+00:00,0.015981524597640163,0.01592311705835092,0.02209730873195175,0.01616125076205393,0.017720193
2024-02-06 00:00:00+00:00,0.017604823277428107,0.015981524597640163,0.021428481206597537,0.0158909652174258,0.016550034
2024-02-07 00:00:00+00:00,0.018531450171314183,0.017604823277428107,0.020917777697087796,0.01710454855156158,0.016904578
2024-02-08 00:00:00+00:00,0.017483458379187754,0.018531450171314183,0.02142688979444098,0.01896912170884401,0.017530099
2024-02-09 00:00:00+00:00,0.017728371312218022,0.017483458379187754,0.021458370375307005,0.018610911207220776,0.019264072
2024-02-10 00:00:00+00:00,0.017957291746347113,0.017728371312218022,0.02298940205141692,0.017537977413875045,0.018427566
2024-02-11 00:00:00+00:00,0.018516761249566888,0.017957291746347113,0.022520593644306683,0.017668933722283665,0.01784189
2024-02-12 00:00:00+00:00,0.01843586616619949,0.018516761249566888,0.021996598907711343,0.019975646324589445,0.019253
2024-02-13 00:00:00+00:00,0.02132793395532797,0.01843586616619949,0.02288441865430981,0.01948897491294716,0.019538611
2024-02-14 00:00:00+00:00,0.021112600185505828,0.02132793395532797,0.022212586993775926,0.02104112041840683,0.021768317
2024-02-15 00:00:00+00:00,0.0211322469310416,0.021112600185505828,0.023767324426059878,0.02000287269050706,0.021949157
2024-02-16 00:00:00+00:00,0.02125282408319505,0.0211322469310416,0.02304932689524491,0.020049884646788394,0.021516219
2024-02-17 00:00:00+00:00,0.021231307738875663,0.02125282408319505,0.022371482673849086,0.020446017341479335,0.021097586
2024-02-18 00:00:00+00:00,0.021299477941716754,0.021231307738875663,0.021816474553464974,0.020188655888539773,0.020129934
2024-02-19 00:00:00+00:00,0.021292320422433817,0.021299477941716754,0.021262798415377832,0.02036247158403339,0.019594178
2024-02-20 00:00:00+00:00,0.020041944128646,0.021292320422433817,0.020678536133024058,0.020325504954169463,0.019889668
2024-02-21 00:00:00+00:00,0.01936344192237013,0.020041944128646,0.02018945455483808,0.018662229315689262,0.019960582
2024-02-22 00:00:00+00:00,0.016433219219974562,0.01936344192237013,0.019686405858375715,0.019006033967507278,0.019702509
2024-02-23 00:00:00+00:00,0.016641024538966605,0.016433219219974562,0.019254590922820603,0.016462841862672273,0.01849936
2024-02-24 00:00:00+00:00,0.016406417758431463,0.016641024538966605,0.018869661456717972,0.01712930271436695,0.016936332
2024-02-25 00:00:00+00:00,0.019599303640931966,0.016406417758431463,0.018730960655120237,0.0160425897166814,0.015584648
2024-02-26 00:00:00+00:00,0.023098016528064817,0.019599303640931966,0.018176610193998216,0.02110853126999551,0.018706888
2024-02-27 00:00:00+00:00,0.03163412428928778,0.023098016528064817,0.02181768315205157,0.023158493878594033,0.022492453
2024-02-28 00:00:00+00:00,0.03212871155004103,0.03163412428928778,0.023959523766237455,0.0342288023680749,0.032112673
2024-02-29 00:00:00+00:00,0.03255462549832691,0.03212871155004103,0.0321427040357488,0.03316776788494038,0.034463152
2024-03-01 00:00:00+00:00,0.03250173572278623,0.03255462549832691,0.031590087059768956,0.03227368162379806,0.035096332
2024-03-02 00:00:00+00:00,0.03277725993509159,0.03250173572278623,0.031020755134818053,0.03209572503378099,0.033802062
2024-03-03 00:00:00+00:00,0.03888625785085087,0.03277725993509159,0.030119164125118635,0.03203836889088611,0.032905996
2024-03-04 00:00:00+00:00,0.042911144002986186,0.03888625785085087,0.02953892255666984,0.039746806770138025,0.038137406
2024-03-05 00:00:00+00:00,0.04388789903900192,0.042911144002986186,0.03450452493316234,0.0419028977711324,0.04250489
2024-03-06 00:00:00+00:00,0.04392384509626695,0.04388789903900192,0.037434556623881864,0.0436881184436446,0.044350535
2024-03-07 00:00:00+00:00,0.04415675578234815,0.04392384509626695,0.03732129406636031,0.04203971987112438,0.04362519
2024-03-08 00:00:00+00:00,0.04394539646021922,0.04415675578234815,0.03630971867266539,0.04324713871800799,0.043181807
2024-03-09 00:00:00+00:00,0.04398401488037265,0.04394539646021922,0.035554094913767965,0.03953833186071489,0.041155472
2024-03-10 00:00:00+00:00,0.043311337531940254,0.04398401488037265,0.03447832418814836,0.039615519382114,0.039831996
2024-03-11 00:00:00+00:00,0.0416037180756598,0.043311337531940254,0.03347944349234655,0.042341907423238866,0.041053966
2024-03-12 00:00:00+00:00,0.03432814989280549,0.0416037180756598,0.034201463252770695,0.043141086001635416,0.040317565
2024-03-13 00:00:00+00:00,0.03443118117804568,0.03432814989280549,0.03323193730839299,0.03141261794007741,0.038185343
2024-03-14 00:00:00+00:00,0.03484112380613522,0.03443118117804568,0.03267387706980718,0.03485257362624658,0.036458224
2024-03-15 00:00:00+00:00,0.038394316584157644,0.03484112380613522,0.03219079923792528,0.03526736221739557,0.036292195
2024-03-16 00:00:00+00:00,0.04002198227833738,0.038394316584157644,0.03197118093528298,0.04101049714798866,0.038529932
2024-03-17 00:00:00+00:00,0.034231685238279186,0.04002198227833738,0.034380598526058646,0.04012091791812613,0.039006174
